,id,perc_syn,method,sampling,map,map50,precision,recall,fitness,set,Unnamed: 0
0,a6wcrgnh,875,controlnet_segmentation,confidence,0.35810957797788057,0.7113357792965084,0.735116661650251,0.6533333333333333,0.3934321981097434,test,
1,tcqy58ck,750,controlnet_segmentation,confidence,0.35199961325224244,0.7162527894457378,0.7111587070256428,0.6893921938846822,0.38842493087159197,test,
2,1ovbz6pn,625,controlnet_segmentation,confidence,0.3795720349198859,0.7327000742994723,0.7046757281387086,0.6840196112946645,0.41488483885784455,test,
3,ktf5x7qy,500,controlnet_segmentation,confidence,0.4018644707531898,0.7344505763831426,0.7249014490398142,0.7033333333333334,0.4351230813161851,test,
4,680ixcpc,375,controlnet_segmentation,confidence,0.39539781888824926,0.7252358209383908,0.7609326930225992,0.6365848048426724,0.42838161909326344,test,
5,bd7wcx2f,250,controlnet_segmentation,confidence,0.4545024980339881,0.7666196525525383,0.7776137408226415,0.7233333333333334,0.48571421348584315,test,
6,3f7w06yi,1500,crucible_mediapipe_face,random,0.3086099104465233,0.6967122697478426,0.7435785409212717,0.6166666666666667,0.34742014637665525,test,
7,3m4n8jne,1500,lllyasviel_canny,random,0.5389337511312419,0.8808726211381281,0.8757767293148278,0.7833333333333333,0.5731276381319305,test,
8,asqoczmz,1500,lllyasviel_openpose,random,0.5159619073849793,0.8800407939436972,0.8579068622351648,0.8066666666666666,0.5523697960408511,test,
9,wdxe7jbl,750,real-large_dataset,baseline,0.5860113653690682,0.9053185785351564,0.8945347101187621,0.8466666666666667,0.6179420866856771,test,
10,o4x7rdx9,625,real-large_dataset,baseline,0.5323813252860206,0.8519899792040326,0.8434667637846981,0.8,0.5643421906778218,test,
11,rlijs8c5,500,real-large_dataset,baseline,0.49639575700737054,0.832081733536221,0.7606767233437183,0.7833333333333333,0.5299643546602556,test,
12,ztpjphay,500,real-large_dataset,baseline,0.49639575700737054,0.832081733536221,0.7606767233437183,0.7833333333333333,0.5299643546602556,test,
13,ghsg8q50,625,real-large_dataset,baseline,0.5323813252860206,0.8519899792040326,0.8434667637846981,0.8,0.5643421906778218,test,
14,cno58cio,500,real-large_dataset,baseline,0.4963957570073705,0.832081733536221,0.7606767233437183,0.7833333333333333,0.5299643546602556,test,0.0
15,k74xgjyn,750,real-large_dataset,baseline,0.641304421253599,0.9183155337993816,0.9207470353786686,0.8466666666666667,0.6690055325081773,test,1.0
16,jxi3skgx,625,real-large_dataset,baseline,0.6258565991145608,0.8990931487746133,0.8535555059912676,0.8742810684822444,0.6531802540805661,test,2.0
17,bahql5wc,500,real-large_dataset,baseline,0.587631896247818,0.8900511678002181,0.8926977536858594,0.8033333333333333,0.6178738234030581,test,3.0
18,hi7717fg,375,real-large_dataset,baseline,0.5371666340687932,0.8741754547927515,0.8813741390318173,0.7925212206125923,0.570867516141189,test,4.0
19,bez0jctd,250,real-large_dataset,baseline,0.4545024980339881,0.7666196525525383,0.7776137408226415,0.7233333333333334,0.4857142134858431,test,5.0
20,4ovd1g4k,875,crucible_mediapipe_face,coreset,0.3347297812150047,0.6894687747594035,0.6888299251480157,0.6533333333333333,0.3702036805694446,test,6.0
21,wvjo4jm5,875,lllyasviel_openpose,coreset,0.4786902143023455,0.8202708663483282,0.831914463101492,0.72,0.5128482795069438,test,7.0
22,nvyh9ubu,875,lllyasviel_canny,coreset,0.5256783110984526,0.8307510973951254,0.8254917395469477,0.7333333333333333,0.5561855897281199,test,8.0
23,anyy8vgs,750,crucible_mediapipe_face,coreset,0.3534487092184268,0.7061889143799653,0.7169536894899037,0.6501347691239086,0.3887227297345807,test,9.0
24,7r3ewiyu,750,lllyasviel_openpose,coreset,0.5105244643432697,0.8541835502495312,0.8529940504972199,0.8123448457165394,0.5448903729338959,test,10.0
25,e3lvmjpg,750,lllyasviel_canny,coreset,0.5171796954812667,0.8401364589630507,0.8450161731668401,0.7433333333333333,0.5494753718294452,test,11.0
26,01ugma32,625,crucible_mediapipe_face,coreset,0.3522289853237933,0.7215925840083793,0.7381620971559483,0.6484092139967054,0.3891653451922519,test,12.0
27,5p6fxvx0,625,lllyasviel_openpose,coreset,0.4692674025608125,0.8481570030487183,0.7890171684149585,0.7733333333333333,0.5071563626096032,test,13.0
28,vm9z0w8p,625,lllyasviel_canny,coreset,0.5174633298326781,0.8523319329224628,0.8097845246511389,0.7804873340007249,0.5509501901416566,test,14.0
29,vrwnuvxa,500,crucible_mediapipe_face,coreset,0.4236702392275135,0.7483219223176351,0.7860596294980401,0.64,0.4561354075365257,test,15.0
30,9vpbqnlu,500,lllyasviel_canny,coreset,0.4739184980472846,0.8092181716326112,0.8266390783368415,0.7033333333333334,0.5074484654058173,test,16.0
31,grc53ate,500,lllyasviel_openpose,coreset,0.4723890690774376,0.8060673145930985,0.8614439655299202,0.704630176714538,0.5057568936290038,test,17.0
32,d99948nz,375,lllyasviel_canny,coreset,0.4901934239010253,0.8267947445292023,0.8322204730974764,0.7466666666666667,0.5238535559638431,test,18.0
33,3ad5jvec,375,crucible_mediapipe_face,coreset,0.3989898463341366,0.745423281312604,0.7782240089501881,0.6466666666666666,0.4336331898319834,test,19.0
34,bry1k0n5,375,lllyasviel_openpose,coreset,0.4865169356675588,0.8358535829658387,0.8041480013533386,0.76,0.5214506003973869,test,20.0
35,smu8otuu,250,real-large_dataset,baseline,0.4545024980339881,0.7666196525525383,0.7776137408226415,0.7233333333333334,0.4857142134858431,test,21.0
36,nk7xokrk,500,controlnet_segmentation,random,0.3884585789626771,0.728857949734862,0.7073243890389787,0.6766906627145168,0.4224985160398956,test,22.0
37,rkfdztyy,875,real-small_dataset,baseline_2,0.4811585130769127,0.7738226550526823,0.7845996257894318,0.7066666666666667,0.5104249272744897,test,23.0
38,8872k1pi,625,real-small_dataset,baseline_2,0.4723476637080823,0.7913109100699252,0.8406065334284993,0.6680158626736753,0.5042439883442666,test,24.0
39,vmm26gvc,875,lllyasviel_openpose,brisque_best,0.4997994897398612,0.8581913672937509,0.8162189489516735,0.7866666666666666,0.5356386774952503,test,25.0
40,a1zfc6nl,875,crucible_mediapipe_face,brisque_best,0.3535490928608275,0.7035483835465867,0.6650272962092452,0.6617754048945388,0.3885490219294034,test,26.0
41,7tj50ml0,875,lllyasviel_canny,brisque_best,0.5151622785185198,0.8298558283060218,0.8578834330356272,0.6966666666666667,0.5466316334972701,test,27.0
42,as02aqg6,875,controlnet_segmentation,brisque_best,0.3807604112943881,0.7343684013673444,0.7432206648019475,0.72,0.4161212103016837,test,28.0
43,8mtqijn3,875,controlnet_segmentation,clipiqa+_best,0.3820649156738503,0.7436318909848323,0.7323650311865201,0.69,0.4182216132049485,test,29.0
44,8mtqijn3,875,controlnet_segmentation,clipiqa+_best,0.3820649156738503,0.7436318909848323,0.7323650311865201,0.69,0.4182216132049485,test,30.0
45,aa1bkd3w,875,lllyasviel_openpose,clipiqa+_best,0.5050329539698178,0.8358312515115679,0.8573278928351985,0.7333333333333333,0.5381127837239928,test,31.0
46,cqlz5l7h,875,crucible_mediapipe_face,clipiqa+_best,0.322561330783458,0.6539879991069569,0.5967483035351333,0.64,0.3557039976158079,test,32.0
47,wc1f2plw,875,lllyasviel_canny,clipiqa+_best,0.5358370323700159,0.8657774758074737,0.8680496593993555,0.7466666666666667,0.5688310767137617,test,33.0
48,2drlsti7,750,controlnet_segmentation,brisque_best,0.3791073125008158,0.7589187646516073,0.7196248692733246,0.7443307910590508,0.417088457715895,test,34.0
49,hnhwsbvn,750,lllyasviel_canny,brisque_best,0.4955445743626896,0.8071580311876333,0.7990125438811251,0.75,0.526705920045184,test,35.0
50,jwsqm8ty,750,lllyasviel_openpose,brisque_best,0.4498833883602004,0.8319983696213149,0.8033745715594811,0.7466666666666667,0.4880948864863119,test,36.0
51,ncfgs1pd,750,crucible_mediapipe_face,brisque_best,0.3404542726214388,0.688239979303483,0.747408098418693,0.5733333333333334,0.3752328432896433,test,37.0
52,sqlx4ev4,750,lllyasviel_canny,clipiqa+_best,0.5291060902399534,0.8470518168479789,0.804257157520398,0.8133333333333334,0.560900662900756,test,38.0
53,w0bly2jk,750,crucible_mediapipe_face,clipiqa+_best,0.3542864984043926,0.6905364070859894,0.7118153964889674,0.6339680740763874,0.3879114892725523,test,39.0
54,h1ujtk8g,750,controlnet_segmentation,clipiqa+_best,0.3757651292538908,0.7425484976653393,0.7536798650592487,0.69,0.4124434660950357,test,40.0
55,417g2na6,875,controlnet_segmentation,coreset,0.3647890320109879,0.7262487355260907,0.7413682232408861,0.6210780952016682,0.4009350023624982,test,41.0
56,g234huzd,500,lllyasviel_openpose,nima_best,0.4909664267011585,0.8248476051694528,0.8509196745139982,0.7229883612519006,0.524354544547988,test,42.0
57,8ehfst42,500,lllyasviel_canny,nima_best,0.5025896966771158,0.8291582294993808,0.779853398794373,0.7766666666666666,0.5352465499593423,test,43.0
58,ssfu7atr,500,crucible_mediapipe_face,nima_best,0.3740244640561934,0.7136788024631961,0.722260440568767,0.6366666666666667,0.4079898978968937,test,44.0
59,msc0mrac,625,crucible_mediapipe_face,brisque_best,0.3498208839599926,0.687392210156595,0.6923449142737073,0.65,0.3835780165796528,test,45.0
60,gce336bs,625,controlnet_segmentation,clipiqa+_best,0.3900091957154916,0.7135319848942131,0.7491234038135758,0.62,0.4223614746333638,test,46.0
61,wkyebnzb,625,crucible_mediapipe_face,clipiqa+_best,0.3364159605555339,0.684830272141535,0.6954417630922303,0.6533333333333333,0.371257391714134,test,47.0
62,i86yqrgn,625,lllyasviel_openpose,clipiqa+_best,0.4708091350586165,0.8242269487311971,0.8289605315950564,0.726991676274664,0.5061509164258746,test,48.0
63,3bsy9w81,625,lllyasviel_canny,brisque_best,0.5076919207979481,0.8410285389649481,0.7809370207426214,0.81,0.5410255826146482,test,49.0
64,0299xjdh,625,lllyasviel_openpose,brisque_best,0.4708091350586165,0.8242269487311971,0.8289605315950564,0.726991676274664,0.5061509164258746,test,50.0
65,i265iye4,625,controlnet_segmentation,brisque_best,0.3900091957154916,0.7135319848942131,0.7491234038135758,0.62,0.4223614746333638,test,51.0
66,m8iwvc8t,625,lllyasviel_canny,clipiqa+_best,0.5076919207979481,0.8410285389649481,0.7809370207426214,0.81,0.5410255826146482,test,52.0
67,stsvxxd8,750,controlnet_segmentation,coreset,0.3722212767527902,0.731924601636528,0.7023925439789581,0.73,0.408191609241164,test,53.0
68,hce8w53e,625,controlnet_segmentation,coreset,0.364130101510714,0.7308929320124349,0.6971622511948121,0.7059785971759617,0.4008063845608861,test,54.0
69,3sjh5co4,500,controlnet_segmentation,coreset,0.3885857947418518,0.7494566841693869,0.7407724076524074,0.7133333333333334,0.4246728836846053,test,55.0
70,3sjh5co4,500,controlnet_segmentation,coreset,0.3885857947418518,0.7494566841693869,0.7407724076524074,0.7133333333333334,0.4246728836846053,test,56.0
71,4lw3zdp8,1500,real-small_dataset,baseline_2,0.4818344003172264,0.7897558251373209,0.8472043462533293,0.6838467374570528,0.5126265427992359,test,57.0
72,6rp69qtx,1000,real-small_dataset,baseline_2,0.4781595085092071,0.7951968873652406,0.821822540269668,0.6966666666666667,0.5098632463948105,test,58.0
73,smhweei0,1250,real-small_dataset,baseline_2,0.4802604595341889,0.8058501520516714,0.8135439413081341,0.74,0.5128194287859372,test,59.0
74,kc43c2cz,750,real-small_dataset,baseline_2,0.4914945348918383,0.7880113373601507,0.756694008101193,0.7049478388659414,0.5211462151386697,test,60.0
75,nmxfonei,500,real-small_dataset,baseline_2,0.4900902460062294,0.8038499613197203,0.8400980629085807,0.69,0.5214662175375785,test,61.0
76,vz2m2m99,375,real-small_dataset,baseline_2,0.467253771749739,0.7855582896456272,0.8187641955504344,0.7,0.4990842235393278,test,62.0
77,d22tgq0z,1500,controlnet_segmentation,random,0.3454051323688666,0.7058955409624076,0.73306175766614,0.6590868268190624,0.3814541732282207,test,63.0
78,k316geht,500,crucible_mediapipe_face,random,0.407168575060188,0.7485464662519354,0.742298612493457,0.69,0.4413063641793627,test,64.0
79,5ojaxxgs,375,controlnet_segmentation,coreset,0.3953867340900335,0.7393821821110779,0.7699056209322572,0.6733333333333333,0.429786278892138,test,65.0
80,glmedz2y,875,crucible_mediapipe_face,confidence,0.3434626441372644,0.6850082883389605,0.6968889729153857,0.6366666666666667,0.377617208557434,test,66.0
81,5w5mlews,875,lllyasviel_canny,confidence,0.5370280365411648,0.8549453757944532,0.7894675055080089,0.7866666666666666,0.5688197704664937,test,67.0
82,nw21aifu,875,lllyasviel_openpose,confidence,0.501581756189837,0.8421898737696553,0.8638251543414822,0.7400753032158397,0.535642567947819,test,68.0
83,m0sdbpi1,750,crucible_mediapipe_face,confidence,0.3700582209185764,0.7169589917093786,0.7169123457488445,0.6233333333333333,0.4047482979976566,test,69.0
84,dqytt8bt,750,lllyasviel_canny,confidence,0.5400520476902522,0.8534560695270372,0.823045369376909,0.7751972498995736,0.5713924498739307,test,70.0
85,r14dp366,750,lllyasviel_openpose,confidence,0.5128815584392484,0.8741547933874769,0.8350433706042886,0.8099520864788828,0.5490088819340713,test,71.0
86,04fwd4hx,625,crucible_mediapipe_face,confidence,0.3695041836539972,0.7199845932263491,0.7818752406179809,0.64,0.4045522246112324,test,72.0
87,qxx2kpu2,625,lllyasviel_canny,confidence,0.5368920916323727,0.8621186356000076,0.854714299865499,0.7833333333333333,0.5694147460291362,test,73.0
88,m5q32upg,625,lllyasviel_openpose,confidence,0.4856878138548783,0.8224297073744276,0.8520436486797117,0.7466666666666667,0.5193620032068332,test,74.0
89,dymars1l,500,crucible_mediapipe_face,confidence,0.3727559322144486,0.7201408564587075,0.7595349486419832,0.6966666666666667,0.4074944246388745,test,75.0
90,telw6kdu,500,lllyasviel_canny,confidence,0.5092152411560069,0.8310363923701595,0.8191685959903925,0.75,0.5413973562774221,test,76.0
91,yxa0ilmp,500,lllyasviel_openpose,confidence,0.4822850592640079,0.8163897208746241,0.7993594596205447,0.7766666666666666,0.5156955254250696,test,77.0
92,jetbilap,375,crucible_mediapipe_face,confidence,0.4142509433929586,0.7919373796223532,0.7564077749776654,0.7556062746802092,0.452019587015898,test,78.0
93,6g5i7pv6,375,lllyasviel_openpose,confidence,0.4628037942794655,0.793434071304459,0.8273647306816058,0.71,0.4958668219819648,test,79.0
94,6g5i7pv6,375,lllyasviel_openpose,confidence,0.4628037942794655,0.793434071304459,0.8273647306816058,0.71,0.4958668219819648,test,80.0
95,c5vmz5i7,375,lllyasviel_canny,confidence,0.4730616947679894,0.8150138739355199,0.8154811953295277,0.7266666666666667,0.5072569126847425,test,81.0
96,43ii67cq,500,crucible_mediapipe_face,random,0.407168575060188,0.7485464662519354,0.742298612493457,0.69,0.4413063641793627,test,82.0
97,6npzev9u,500,lllyasviel_canny,random,0.499611812007728,0.8147387623107933,0.8070146553741776,0.7266666666666667,0.5311245070380345,test,83.0
98,ovylwkzf,500,lllyasviel_openpose,random,0.4860993136287663,0.8285688688652859,0.8151674418757501,0.76,0.5203462691524183,test,84.0
99,3bvxonei,375,lllyasviel_canny,nima_best,0.4772926810651747,0.8117948497270986,0.8485187601712658,0.7095221228725375,0.5107428979313672,test,85.0
100,hhymu3v7,375,crucible_mediapipe_face,nima_best,0.3902421306962012,0.7184457478300228,0.6726306444177892,0.71,0.4230624924095834,test,86.0
101,qmaf0yo7,375,controlnet_segmentation,nima_best,0.4224932509378697,0.7558610024496082,0.6748299724936115,0.7401959536956825,0.4558300260890435,test,87.0
102,yksgpica,375,lllyasviel_openpose,nima_best,0.4495343434675646,0.7892660945130098,0.8113257975108261,0.7166666666666667,0.4835075185721091,test,88.0
103,h5580917,625,lllyasviel_openpose,nima_best,0.5020377993211377,0.817129428133473,0.8564960863758923,0.7162156870451148,0.5335469622023712,test,89.0
